symbol,name,current_mv
ASRT,"Assertio Holdings, Inc.","698,291 USD"
NETI,"Eneti, Inc.","698,287 USD"
NVTA,Invitae Corp.,"691,741 USD"
SLND,"Southland Holdings, Inc.","69,596 USD"
RBKB,"Rhinebeck Bancorp, Inc.","69,210 USD"
 ,"Bit Digital, Inc.","686,363 USD"
CZNC,Citizens & Northern Corp.,"686,250 USD"
SCPH,"scPharmaceuticals, Inc.","685,838 USD"
STOK,"Stoke Therapeutics, Inc.","683,860 USD"
LUNA,"Luna Innovations, Inc.","683,270 USD"
AROW,Arrow Financial Corp.,"682,102 USD"
CURO,Curo Group Holdings Corp.,"68,757 USD"
KIRK,"Kirkland's, Inc.","68,249 USD"
TCRX,"TScan Therapeutics, Inc.","68,035 USD"
SMMT,"Summit Therapeutics, Inc.","677,705 USD"
LPSN,"LivePerson, Inc.","677,489 USD"
ZIMV,"Zimvie, Inc.","677,326 USD"
ODC,Oil-Dri Corp. of America,"676,497 USD"
AMAL,Amalgamated Financial Corp.,"675,748 USD"
CMPX,"Compass Therapeutics, Inc.","675,473 USD"
ALLK,"Allakos, Inc.","675,408 USD"
DSKE,"Daseke, Inc.","673,072 USD"
OBIO,"Orchestra BioMed Holdings, Inc.","67,543 USD"
ESP,Espey Mfg. & Electronics Corp.,"67,231 USD"
UG,"United-Guardian, Inc.","67,001 USD"
FSBC,Five Star Bancorp,"669,064 USD"
ABUS,Arbutus Biopharma Corp.,"668,486 USD"
AVIR,"Atea Pharmaceuticals, Inc.","668,147 USD"
INOD,"Innodata, Inc.","667,303 USD"
DXLG,"Destination XL Group, Inc.","666,625 USD"
BBW,"Build-A-Bear Workshop, Inc.","664,470 USD"
PETS,"PetMed Express, Inc.","664,319 USD"
CNSL,"Consolidated Communications Holdings, Inc.","661,989 USD"
RFL,"Rafael Holdings, Inc.","66,962 USD"
GEG,"Great Elm Group, Inc.","66,812 USD"
COSM,"Cosmos Health, Inc.","66,677 USD"
KALA,"Kala Pharmaceuticals, Inc.","66,516 USD"
IRIX,IRIDEX Corp.,"66,196 USD"
INTT,inTEST Corp.,"659,782 USD"
BMRC,Bank of Marin Bancorp,"654,196 USD"
PAHC,Phibro Animal Health Corp.,"653,997 USD"
GNE,Genie Energy Ltd.,"652,349 USD"
STRO,"Sutro Biopharma, Inc.","651,865 USD"
EBTC,"Enterprise Bancorp, Inc.","651,150 USD"
BCEL,"Atreca, Inc.","65,913 USD"
XGN,"Exagen, Inc.","65,839 USD"
ALGS,"Aligos Therapeutics, Inc.","65,707 USD"
LUXH,"LuxUrban Hotels, Inc.","65,366 USD"
BYSI,"Beyondspring, Inc.","65,322 USD"
VWE,"Vintage Wine Estates, Inc.","65,319 USD"
PSTL,"Postal Realty Trust, Inc.","649,726 USD"
ACNB,ACNB Corp.,"647,180 USD"
PLCE,"Children's Place, Inc. (The)","646,027 USD"
TSP,"TuSimple Holdings, Inc.","645,192 USD"
BLNK,Blink Charging Co.,"645,129 USD"
SMHI,"SEACOR Marine Holdings, Inc.","642,629 USD"
TCX,"Tucows, Inc.","642,209 USD"
TTCFQ,"Tattooed Chef, Inc.","64,988 USD"
GAME,"GameSquare Holdings, Inc.","64,512 USD"
VGAS,"Verde Clean Fuels, Inc.","64,442 USD"
PLM,PolyMet Mining Corp.,"64,338 USD"
SPFI,"South Plains Financial, Inc.","639,126 USD"
ICVX,"Icosavax, Inc.","638,002 USD"
GLRE,Greenlight Capital Re Ltd.,"637,178 USD"
RYAM,"Rayonier Advanced Materials, Inc.","636,783 USD"
LMNR,Limoneira Co.,"636,404 USD"
PKE,Park Aerospace Corp.,"635,973 USD"
ICPT,"Intercept Pharmaceuticals, Inc.","633,683 USD"
GPMT,"Granite Point Mortgage Trust, Inc.","632,746 USD"
CIVB,"Civista Bancshares, Inc.","631,359 USD"
WSBF,"Waterstone Financial, Inc.","630,663 USD"
RMCF,"Rocky Mountain Chocolate Factory, Inc.","63,551 USD"
RVLP,RVL Pharmaceuticals plc,"63,276 USD"
AIRT,"Air T, Inc.","63,177 USD"
SLQT,"Selectquote, Inc.","629,458 USD"
INGN,"Inogen, Inc.","629,279 USD"
SOI,"Solaris Oilfield Infrastructure, Inc.","629,115 USD"
OTLK,"Outlook Therapeutics, Inc.","629,095 USD"
TNYA,"Tenaya Therapeutics, Inc.","626,622 USD"
ONTF,"ON24, Inc.","623,527 USD"
NRGV,"Energy Vault Holdings, Inc.","623,224 USD"
FRGE,"Forge Global Holdings, Inc.","622,287 USD"
ZUMZ,"Zumiez, Inc.","621,718 USD"
MAX,"MediaAlpha, Inc.","620,064 USD"
ICCH,"ICC Holdings, Inc.","62,716 USD"
ISPR,"Ispire Technology, Inc.","62,335 USD"
PTRAQ,"Proterra, Inc.","619,972 USD"
SKWD,"Skyward Specialty Insurance Group, Inc.","618,795 USD"
NUVB,"Nuvation Bio, Inc.","617,783 USD"
UIS,Unisys Corp.,"617,206 USD"
EVC,Entravision Communications Corp.,"616,571 USD"
KODK,Eastman Kodak Co.,"614,400 USD"
BHR,"Braemar Hotels & Resorts, Inc.","613,754 USD"
BKSY,"BlackSky Technology, Inc.","613,066 USD"
IPDN,"Professional Diversity Network, Inc.","61,975 USD"
WVVI,"Willamette Valley Vineyards, Inc.","61,947 USD"
LWAY,"Lifeway Foods, Inc.","61,613 USD"
APCX,AppTech Payments Corp.,"61,527 USD"
INAB,"IN8bio, Inc.","61,289 USD"
VBFC,Village Bank and Trust Financial Corp.,"61,204 USD"
BDL,"Flanigan's Enterprises, Inc.","61,116 USD"
FLIC,First of Long Island Corp. (The),"607,515 USD"
EPM,Evolution Petroleum Corp.,"606,364 USD"
FWRG,"First Watch Restaurant Group, Inc.","603,279 USD"
MVLA,"Movella Holdings, Inc.","60,592 USD"
DAIO,Data I/O Corp.,"60,523 USD"
KINS,"Kingstone Cos., Inc.","6,938 USD"
VINC,"Vincerx Pharma, Inc.","6,704 USD"
NYC,American Strategic Investment Co.,"6,130 USD"
ABVC,"ABVC BioPharma, Inc.","6,057 USD"
VERO,"Venus Concept, Inc.",599 USD
CGEM,"Cullinan Oncology, Inc.","598,902 USD"
VCNX,"Vaccinex, Inc.",597 USD
LOCO,"El Pollo Loco Holdings, Inc.","593,405 USD"
NEXT,NextDecade Corp.,"588,772 USD"
CUTR,"Cutera, Inc.","588,194 USD"
HBT,"HBT Financial, Inc.","588,107 USD"
LFCR,"Lifecore Biomedical, Inc.","588,013 USD"
BLFY,Blue Foundry Bancorp,"587,654 USD"
BIG,"Big Lots, Inc.","587,045 USD"
REFI,"Chicago Atlantic Real Estate Finance, Inc.","585,654 USD"
FET,"Forum Energy Technologies, Inc.","585,269 USD"
CMTL,Comtech Telecommunications Corp.,"583,552 USD"
SEER,"Seer, Inc.","583,478 USD"
JMSB,"John Marshall Bancorp, Inc.","582,610 USD"
YMAB,"Y-mAbs Therapeutics, Inc.","582,473 USD"
GBIO,Generation Bio Co.,"581,300 USD"
CADL,"Candel Therapeutics, Inc.","58,548 USD"
EAR,"Eargo, Inc.","58,258 USD"
RLGT,"Radiant Logistics, Inc.","577,443 USD"
NRDY,"Nerdy, Inc.","577,266 USD"
MCBC,Macatawa Bank Corp.,"576,279 USD"
HYLN,Hyliion Holdings Corp.,"576,173 USD"
PANL,Pangaea Logistics Solutions Ltd.,"574,089 USD"
RBBN,"Ribbon Communications, Inc.","572,723 USD"
SPI,SPI Energy Co. Ltd.,"57,518 USD"
ELEV,"Elevation Oncology, Inc.","57,470 USD"
HBCP,"Home Bancorp, Inc.","567,061 USD"
CSTR,"Capstar Financial Holdings, Inc.","566,862 USD"
OLMA,"Olema Pharmaceuticals, Inc.","565,892 USD"
OSG,"Overseas Shipholding Group, Inc.","565,106 USD"
FNLC,"First Bancorp, Inc. (The)","564,956 USD"
CRBU,"Caribou Biosciences, Inc.","564,005 USD"
IPI,"Intrepid Potash, Inc.","563,983 USD"
PMVP,"PMV Pharmaceuticals, Inc.","563,469 USD"
MVBF,MVB Financial Corp.,"561,445 USD"
RM,Regional Management Corp.,"560,132 USD"
USGO,"US Goldmining, Inc.","56,600 USD"
BMTX,"BM Technologies, Inc.","56,462 USD"
FISI,"Financial Institutions, Inc.","556,991 USD"
XFOR,"X4 Pharmaceuticals, Inc.","556,596 USD"
TYRA,"Tyra Biosciences, Inc.","555,297 USD"
OPRX,OptimizeRx Corp.,"555,267 USD"
MLYS,"Mineralys Therapeutics, Inc.","554,398 USD"
SPOK,"Spok Holdings, Inc.","552,970 USD"
RRBI,"Red River Bancshares, Inc.","552,923 USD"
TREE,"LendingTree, Inc.","551,379 USD"
DSGR,"Distribution Solutions Group, Inc.","551,211 USD"
BRT,BRT Apartments Corp.,"550,123 USD"
SYPR,"Sypris Solutions, Inc.","55,898 USD"
OCC,Optical Cable Corp.,"55,659 USD"
SMMF,"Summit Financial Group, Inc.","547,304 USD"
RMNI,"Rimini Street, Inc.","545,428 USD"
FBIZ,"First Business Financial Services, Inc.","545,034 USD"
CARM,"Carisma Therapeutics, Inc.","544,740 USD"
CMAX,"CareMax, Inc.","544,250 USD"
WLDN,"Willdan Group, Inc.","543,857 USD"
SIGA,"SIGA Technologies, Inc.","543,284 USD"
LEGH,Legacy Housing Corp.,"542,623 USD"
IBEX,IBEX Holdings Ltd.,"542,575 USD"
FF,FutureFuel Corp.,"541,735 USD"
RPID,"Rapid Micro Biosystems, Inc.","54,693 USD"
SONM,"Sonim Technologies, Inc.","54,646 USD"
NVNO,enVVeno Medical Corp.,"54,624 USD"
FGH,"FG Group Holdings, Inc.","54,444 USD"
MPTI,"M-Tron Industries, Inc.","54,046 USD"
GNTY,"Guaranty Bancshares, Inc.","539,894 USD"
BLDE,"Blade Air Mobility, Inc.","538,334 USD"
SB,"Safe Bulkers, Inc.","536,638 USD"
UTI,"Universal Technical Institute, Inc.","534,412 USD"
PBPB,Potbelly Corp.,"534,105 USD"
RDVT,"Red Violet, Inc.","533,997 USD"
AMTX,"Aemetis, Inc.","531,813 USD"
LMB,"Limbach Holdings, Inc.","531,547 USD"
FDBC,"Fidelity D&D Bancorp, Inc.","531,089 USD"
MIGI,"Mawson Infrastructure Group, Inc.","53,396 USD"
CLNN,"Clene, Inc.","53,081 USD"
NOTE,"FiscalNote Holdings, Inc.","528,612 USD"
AMRSQ,"Amyris, Inc.","527,374 USD"
KOPN,Kopin Corp.,"527,285 USD"
PRTS,"CarParts.com, Inc.","525,878 USD"
BHIL,"Benson Hill, Inc.","523,784 USD"
KOD,"Kodiak Sciences, Inc.","522,661 USD"
FLL,"Full House Resorts, Inc.","520,818 USD"
DGICA,"Donegal Group, Inc.","520,202 USD"
RGF,"Real Good Food Co., Inc. (The)","52,834 USD"
GMGI,"Golden Matrix Group, Inc.","52,524 USD"
ERAS,"Erasca, Inc.","517,983 USD"
KALV,"KalVista Pharmaceuticals, Inc.","516,987 USD"
NATH,"Nathan's Famous, Inc.","516,715 USD"
RIGL,"Rigel Pharmaceuticals, Inc.","514,691 USD"
AKTS,"Akoustis Technologies, Inc.","512,565 USD"
RRGB,"Red Robin Gourmet Burgers, Inc.","511,862 USD"
NWFL,Norwood Financial Corp.,"511,223 USD"
MGTX,MeiraGTx Holdings plc,"510,384 USD"
SPWH,"Sportsman's Warehouse Holdings, Inc.","510,338 USD"
CPS,"Cooper-Standard Holdings, Inc.","510,180 USD"
VANI,"Vivani Medical, Inc.","51,847 USD"
AGIL,"AgileThought, Inc.","51,816 USD"
NICK,"Nicholas Financial, Inc.","51,775 USD"
BATL,Battalion Oil Corp.,"51,773 USD"
DFLI,Dragonfly Energy Holdings Corp.,"51,548 USD"
JRSH,"Jerash Holdings US, Inc.","51,031 USD"
QIPT,Quipt Home Medical Corp.,"508,987 USD"
CIO,"City Office REIT, Inc.","507,706 USD"
HLLY,"Holley, Inc.","503,917 USD"
ILPT,Industrial Logistics Properties Trust,"502,197 USD"
PCYO,Pure Cycle Corp.,"501,325 USD"
HBIO,"Harvard Bioscience, Inc.","500,952 USD"
WVE,WaVe Life Sciences Ltd.,"500,944 USD"
SRRK,Scholar Rock Holding Corp.,"500,566 USD"
OPFI,"OppFi, Inc.","50,941 USD"
BRID,Bridgford Foods Corp.,"50,437 USD"
FTK,"Flotek Industries, Inc.","5,026 USD"
RXT,"Rackspace Technology, Inc.","499,688 USD"
CDLX,"Cardlytics, Inc.","498,206 USD"
ALTO,"Alto Ingredients, Inc.","497,158 USD"
ATXS,"Astria Therapeutics, Inc.","495,768 USD"
PINE,"Alpine Income Property Trust, Inc.","495,641 USD"
